data;P Foz Rio Urubu;P Rio Urubu Fazenda Fortaleza;H Foz Rio Urubu;H Rio Urubu Fazenda Fortaleza;Q Foz Rio Urubu;Q Rio Urubu Fazenda Fortaleza
27/JULY/2016;None;None;None;None;None;None
28/JULY/2016;None;None;None;None;None;None
29/JULY/2016;None;None;None;None;None;None
30/JULY/2016;None;None;None;None;None;None
31/JULY/2016;None;None;None;None;None;None
1/AUGUST/2016;None;None;None;None;None;None
2/AUGUST/2016;None;None;None;None;None;None
3/AUGUST/2016;None;None;None;None;None;None
4/AUGUST/2016;None;None;None;None;None;None
5/AUGUST/2016;None;None;None;None;None;None
6/AUGUST/2016;None;None;None;None;None;None
7/AUGUST/2016;None;None;None;None;None;None
8/AUGUST/2016;None;None;None;None;None;None
9/AUGUST/2016;None;None;None;None;None;None
10/AUGUST/2016;None;None;None;None;None;None
11/AUGUST/2016;None;None;None;None;None;None
12/AUGUST/2016;None;None;None;None;None;None
13/AUGUST/2016;None;None;None;None;None;None
14/AUGUST/2016;None;None;None;None;None;None
15/AUGUST/2016;None;None;None;None;None;None
16/AUGUST/2016;None;None;None;None;None;None
17/AUGUST/2016;None;None;None;None;None;None
18/AUGUST/2016;None;None;None;None;None;None
19/AUGUST/2016;None;None;None;None;None;None
20/AUGUST/2016;None;None;None;None;None;None
21/AUGUST/2016;None;None;None;None;None;None
22/AUGUST/2016;None;None;None;None;None;None
23/AUGUST/2016;None;None;None;None;None;None
24/AUGUST/2016;None;None;None;None;None;None
25/AUGUST/2016;None;None;None;None;None;None
26/AUGUST/2016;None;None;None;None;None;None
27/AUGUST/2016;None;None;None;None;None;None
28/AUGUST/2016;None;None;None;None;None;None
29/AUGUST/2016;None;None;None;None;None;None
30/AUGUST/2016;None;None;None;None;None;None
31/AUGUST/2016;None;None;None;None;None;None
1/SEPTEMBER/2016;None;None;None;None;None;None
2/SEPTEMBER/2016;None;None;None;None;None;None
3/SEPTEMBER/2016;None;None;None;None;None;None
4/SEPTEMBER/2016;None;None;None;None;None;None
5/SEPTEMBER/2016;None;None;None;None;None;None
6/SEPTEMBER/2016;None;None;None;None;None;None
7/SEPTEMBER/2016;None;None;None;None;None;None
8/SEPTEMBER/2016;None;None;None;None;None;None
9/SEPTEMBER/2016;None;None;None;None;None;None
10/SEPTEMBER/2016;None;None;None;None;None;None
11/SEPTEMBER/2016;None;None;None;None;None;None
12/SEPTEMBER/2016;None;None;None;None;None;None
13/SEPTEMBER/2016;None;None;None;None;None;None
14/SEPTEMBER/2016;None;None;None;None;None;None
15/SEPTEMBER/2016;None;None;None;None;None;None
16/SEPTEMBER/2016;None;None;None;None;None;None
17/SEPTEMBER/2016;None;None;None;None;None;None
18/SEPTEMBER/2016;None;None;None;None;None;None
19/SEPTEMBER/2016;None;None;None;None;None;None
20/SEPTEMBER/2016;None;None;None;None;None;None
21/SEPTEMBER/2016;None;None;None;None;None;None
22/SEPTEMBER/2016;None;None;None;None;None;None
23/SEPTEMBER/2016;None;None;None;None;None;None
24/SEPTEMBER/2016;None;None;None;None;None;None
25/SEPTEMBER/2016;None;None;None;None;None;None
26/SEPTEMBER/2016;None;None;None;None;None;None
27/SEPTEMBER/2016;None;None;None;None;None;None
28/SEPTEMBER/2016;None;None;None;None;None;None
29/SEPTEMBER/2016;None;None;None;None;None;None
30/SEPTEMBER/2016;None;None;None;None;None;None
31/SEPTEMBER/2016;None;None;None;None;None;None
1/OCTOBER/2016;None;None;None;None;None;None
2/OCTOBER/2016;None;None;None;None;None;None
3/OCTOBER/2016;None;None;None;None;None;None
4/OCTOBER/2016;None;None;None;None;None;None
5/OCTOBER/2016;None;None;None;None;None;None
6/OCTOBER/2016;None;None;None;None;None;None
7/OCTOBER/2016;None;None;None;None;None;None
8/OCTOBER/2016;None;None;None;None;None;None
9/OCTOBER/2016;None;None;None;None;None;None
10/OCTOBER/2016;None;None;None;None;None;None
11/OCTOBER/2016;None;None;None;None;None;None
12/OCTOBER/2016;None;None;None;None;None;None
13/OCTOBER/2016;None;None;None;None;None;None
14/OCTOBER/2016;None;None;None;None;None;None
15/OCTOBER/2016;None;None;None;None;None;None
16/OCTOBER/2016;None;None;None;None;None;None
17/OCTOBER/2016;None;None;None;None;None;None
18/OCTOBER/2016;None;None;None;None;None;None
19/OCTOBER/2016;None;None;None;None;None;None
20/OCTOBER/2016;None;None;None;None;None;None
21/OCTOBER/2016;None;None;None;None;None;None
22/OCTOBER/2016;None;None;None;None;None;None
23/OCTOBER/2016;None;None;None;None;None;None
24/OCTOBER/2016;None;None;None;None;None;None
25/OCTOBER/2016;None;None;None;None;None;None
26/OCTOBER/2016;None;None;None;None;None;None
27/OCTOBER/2016;None;None;None;None;None;None
28/OCTOBER/2016;None;None;None;None;None;None
29/OCTOBER/2016;None;None;None;None;None;None
30/OCTOBER/2016;None;None;None;None;None;None
31/OCTOBER/2016;None;None;None;None;None;None
1/NOVEMBER/2016;None;None;None;None;None;None
2/NOVEMBER/2016;None;None;None;None;None;None
3/NOVEMBER/2016;None;None;None;None;None;None
4/NOVEMBER/2016;None;None;None;None;None;None
5/NOVEMBER/2016;None;None;None;None;None;None
6/NOVEMBER/2016;None;None;None;None;None;None
7/NOVEMBER/2016;None;None;None;None;None;None
8/NOVEMBER/2016;None;None;None;None;None;None
9/NOVEMBER/2016;None;None;None;None;None;None
10/NOVEMBER/2016;None;None;None;None;None;None
11/NOVEMBER/2016;None;None;None;None;None;None
12/NOVEMBER/2016;None;None;None;None;None;None
13/NOVEMBER/2016;None;None;None;None;None;None
14/NOVEMBER/2016;None;None;None;None;None;None
15/NOVEMBER/2016;None;None;None;None;None;None
16/NOVEMBER/2016;None;None;None;None;None;None
17/NOVEMBER/2016;None;None;None;None;None;None
18/NOVEMBER/2016;None;None;None;None;None;None
19/NOVEMBER/2016;None;None;None;None;None;None
20/NOVEMBER/2016;None;None;None;None;None;None
21/NOVEMBER/2016;None;None;None;None;None;None
22/NOVEMBER/2016;None;None;None;None;None;None
23/NOVEMBER/2016;None;None;None;None;None;None
24/NOVEMBER/2016;None;None;None;None;None;None
25/NOVEMBER/2016;None;None;None;None;None;None
26/NOVEMBER/2016;None;None;None;None;None;None
27/NOVEMBER/2016;None;None;None;None;None;None
28/NOVEMBER/2016;None;None;None;None;None;None
29/NOVEMBER/2016;None;None;None;None;None;None
30/NOVEMBER/2016;None;None;None;None;None;None
31/NOVEMBER/2016;None;None;None;None;None;None
1/DECEMBER/2016;None;None;None;None;None;None
2/DECEMBER/2016;None;None;None;None;None;None
3/DECEMBER/2016;None;None;None;None;None;None
4/DECEMBER/2016;None;None;None;None;None;None
5/DECEMBER/2016;None;None;None;None;None;None
6/DECEMBER/2016;None;None;None;None;None;None
7/DECEMBER/2016;None;None;None;None;None;None
8/DECEMBER/2016;None;None;None;None;None;None
9/DECEMBER/2016;None;None;None;None;None;None
10/DECEMBER/2016;None;None;None;None;None;None
11/DECEMBER/2016;None;None;None;None;None;None
12/DECEMBER/2016;None;None;None;None;None;None
13/DECEMBER/2016;None;None;None;None;None;None
14/DECEMBER/2016;None;None;None;None;None;None
15/DECEMBER/2016;None;None;None;None;None;None
16/DECEMBER/2016;None;None;None;None;None;None
17/DECEMBER/2016;None;None;None;None;None;None
18/DECEMBER/2016;None;None;None;None;None;None
19/DECEMBER/2016;None;None;None;None;None;None
20/DECEMBER/2016;None;None;None;None;None;None
21/DECEMBER/2016;None;None;None;None;None;None
22/DECEMBER/2016;None;None;None;None;None;None
23/DECEMBER/2016;None;None;None;None;None;None
24/DECEMBER/2016;None;None;None;None;None;None
25/DECEMBER/2016;None;None;None;None;None;None
26/DECEMBER/2016;None;None;None;None;None;None
27/DECEMBER/2016;None;None;None;None;None;None
28/DECEMBER/2016;None;None;None;None;None;None
29/DECEMBER/2016;None;None;None;None;None;None
30/DECEMBER/2016;None;None;None;None;None;None
31/DECEMBER/2016;None;None;None;None;None;None
1/JANUARY/2017;None;None;None;None;None;None
2/JANUARY/2017;None;None;None;None;None;None
3/JANUARY/2017;None;None;None;None;None;None
4/JANUARY/2017;None;None;None;None;None;None
5/JANUARY/2017;None;None;None;None;None;None
6/JANUARY/2017;None;None;None;None;None;None
7/JANUARY/2017;None;None;None;None;None;None
8/JANUARY/2017;None;None;None;None;None;None
9/JANUARY/2017;None;None;None;None;None;None
10/JANUARY/2017;None;None;None;None;None;None
11/JANUARY/2017;None;None;None;None;None;None
12/JANUARY/2017;None;None;None;None;None;None
13/JANUARY/2017;None;None;None;None;None;None
14/JANUARY/2017;None;None;None;None;None;None
15/JANUARY/2017;None;None;None;None;None;None
16/JANUARY/2017;None;None;232.62294;None;None;None
17/JANUARY/2017;None;None;232.1979;None;None;None
18/JANUARY/2017;None;None;235.0729;None;None;None
19/JANUARY/2017;None;None;235.71873;None;None;None
20/JANUARY/2017;None;None;235.02081;None;None;None
21/JANUARY/2017;None;None;234.19565;None;None;None
22/JANUARY/2017;None;None;237.10869;None;None;None
23/JANUARY/2017;None;None;237;None;None;None
24/JANUARY/2017;None;None;238.63542;None;None;None
25/JANUARY/2017;None;None;238.6087;None;None;None
26/JANUARY/2017;None;None;236.8;None;None;None
27/JANUARY/2017;None;None;237.41176;None;None;None
28/JANUARY/2017;None;None;238.31522;None;None;None
29/JANUARY/2017;None;None;239.30437;None;None;None
30/JANUARY/2017;None;None;240.47917;None;None;None
31/JANUARY/2017;None;None;244.15625;None;None;None
1/FEBRUARY/2017;44.4;None;249.26042;None;None;None
2/FEBRUARY/2017;16.800003;None;257.96875;None;None;None
3/FEBRUARY/2017;0;None;258.45834;None;None;None
4/FEBRUARY/2017;1.4000001;None;257.34784;None;None;None
5/FEBRUARY/2017;354.80002;None;260.42392;None;None;None
6/FEBRUARY/2017;0;None;261.29166;None;None;None
7/FEBRUARY/2017;0;None;262.5341;None;None;None
8/FEBRUARY/2017;0.2;None;259.16666;None;None;None
9/FEBRUARY/2017;3.6000004;None;259.3646;None;None;None
10/FEBRUARY/2017;2.3000002;None;261.08694;None;None;None
11/FEBRUARY/2017;38.300007;None;265.29166;None;None;None
12/FEBRUARY/2017;9.8;None;271.08047;None;None;None
13/FEBRUARY/2017;84.09999;None;281.7294;None;None;None
14/FEBRUARY/2017;4.799999;None;298.46875;None;None;None
15/FEBRUARY/2017;12.5999975;None;339.52173;None;None;None
16/FEBRUARY/2017;2.8000002;None;384.47726;None;None;None
17/FEBRUARY/2017;3.2;None;421.56522;None;None;None
18/FEBRUARY/2017;6.2;None;450.45834;None;None;None
19/FEBRUARY/2017;11.799999;None;469.68964;None;None;None
20/FEBRUARY/2017;0;None;483.4086;None;None;None
21/FEBRUARY/2017;16.2;None;492.04346;None;None;None
22/FEBRUARY/2017;0.2;None;499.75;None;None;None
23/FEBRUARY/2017;36.20001;None;505.08698;None;None;None
24/FEBRUARY/2017;0;None;513.8587;None;None;None
25/FEBRUARY/2017;40.399998;None;523.5;None;None;None
26/FEBRUARY/2017;11.399999;None;537.6024;None;None;None
27/FEBRUARY/2017;0;None;551.19354;None;None;None
28/FEBRUARY/2017;10.199998;None;560.1957;None;None;None
29/FEBRUARY/2017;None;None;None;None;None;None
30/FEBRUARY/2017;None;None;None;None;None;None
31/FEBRUARY/2017;None;None;None;None;None;None
1/MARCH/2017;0.2;None;567.5185;None;None;None
2/MARCH/2017;0;None;None;None;None;None
3/MARCH/2017;0;None;None;None;None;None
4/MARCH/2017;61.300003;None;None;None;None;None
5/MARCH/2017;0;None;None;None;None;None
6/MARCH/2017;0;None;None;None;None;None
7/MARCH/2017;12.199999;None;None;None;None;None
8/MARCH/2017;1.2;None;None;None;None;None
9/MARCH/2017;0.2;None;None;None;None;None
10/MARCH/2017;0;None;None;None;None;None
11/MARCH/2017;0;None;None;None;None;None
12/MARCH/2017;2.2;None;566;None;None;None
13/MARCH/2017;0.2;None;None;None;None;None
14/MARCH/2017;0.8;None;None;None;None;None
15/MARCH/2017;0.4;None;None;None;None;None
16/MARCH/2017;0;None;None;None;None;None
17/MARCH/2017;1.4000001;None;None;None;None;None
18/MARCH/2017;0;None;None;None;None;None
19/MARCH/2017;0;None;None;None;None;None
20/MARCH/2017;12.799998;None;None;None;None;None
21/MARCH/2017;0.2;None;None;None;None;None
22/MARCH/2017;0;None;None;None;None;None
23/MARCH/2017;0;None;None;None;None;None
24/MARCH/2017;2;None;None;None;None;None
25/MARCH/2017;0;None;None;None;None;None
26/MARCH/2017;0;None;None;None;None;None
27/MARCH/2017;0;None;None;None;None;None
28/MARCH/2017;0;None;None;None;None;None
29/MARCH/2017;4.9999995;None;None;None;None;None
30/MARCH/2017;36.6;None;None;None;None;None
31/MARCH/2017;0.8;None;None;None;None;None
1/APRIL/2017;0;None;None;None;None;None
2/APRIL/2017;9.599999;None;None;None;None;None
3/APRIL/2017;6;None;None;None;None;None
4/APRIL/2017;0.2;None;None;None;None;None
5/APRIL/2017;30.800001;None;None;None;None;None
6/APRIL/2017;1.4;None;None;None;None;None
7/APRIL/2017;17.2;None;None;None;None;None
8/APRIL/2017;0;None;None;None;None;None
9/APRIL/2017;0.4;None;None;None;None;None
10/APRIL/2017;0;None;None;None;None;None
11/APRIL/2017;0;None;None;None;None;None
12/APRIL/2017;0;None;None;None;None;None
13/APRIL/2017;0.4;None;None;None;None;None
14/APRIL/2017;1.6000001;None;None;None;None;None
15/APRIL/2017;0.2;None;None;None;None;None
16/APRIL/2017;0.2;None;None;None;None;None
17/APRIL/2017;0;None;None;None;None;None
18/APRIL/2017;0;None;None;None;None;None
19/APRIL/2017;1.4000001;None;None;None;None;None
20/APRIL/2017;0;None;None;None;None;None
21/APRIL/2017;48.6;None;None;None;None;None
22/APRIL/2017;0.2;None;None;None;None;None
23/APRIL/2017;1.2;None;None;None;None;None
24/APRIL/2017;0;None;None;None;None;None
25/APRIL/2017;0;None;None;None;None;None
26/APRIL/2017;0;None;None;None;None;None
27/APRIL/2017;5.3999996;None;None;None;None;None
28/APRIL/2017;5.2;None;None;None;None;None
29/APRIL/2017;0;None;None;None;None;None
30/APRIL/2017;0.2;None;None;None;None;None
31/APRIL/2017;None;None;None;None;None;None
1/MAY/2017;0;None;None;None;None;None
2/MAY/2017;0;None;None;None;None;None
3/MAY/2017;0;None;None;None;None;None
4/MAY/2017;0;None;None;None;None;None
5/MAY/2017;0;None;None;None;None;None
6/MAY/2017;0;None;None;None;None;None
7/MAY/2017;0;None;None;None;None;None
8/MAY/2017;0;None;None;None;None;None
9/MAY/2017;0;None;None;None;None;None
10/MAY/2017;0;None;None;None;None;None
11/MAY/2017;0;None;None;None;None;None
12/MAY/2017;0;None;None;None;None;None
13/MAY/2017;2.2;None;None;None;None;None
14/MAY/2017;0;None;None;None;None;None
15/MAY/2017;0;None;None;None;None;None
16/MAY/2017;0;None;None;None;None;None
17/MAY/2017;0;None;None;None;None;None
18/MAY/2017;0;None;None;None;None;None
19/MAY/2017;0;None;None;None;None;None
20/MAY/2017;0;None;None;None;None;None
21/MAY/2017;0;None;None;None;None;None
22/MAY/2017;0;None;None;None;None;None
23/MAY/2017;0;None;None;None;None;None
24/MAY/2017;1.6;None;None;None;None;None
25/MAY/2017;0.2;None;None;None;None;None
26/MAY/2017;0;None;None;None;None;None
27/MAY/2017;0;None;None;None;None;None
28/MAY/2017;0;None;None;None;None;None
29/MAY/2017;0;None;None;None;None;None
30/MAY/2017;0;None;None;None;None;None
31/MAY/2017;0;None;None;None;None;None
1/JUNE/2017;0;None;303.35416;None;None;None
2/JUNE/2017;0;None;338.3125;None;None;None
3/JUNE/2017;0;None;386.77084;None;None;None
4/JUNE/2017;0;None;400.0625;None;None;None
5/JUNE/2017;0;None;420.3958;None;None;None
6/JUNE/2017;0;None;425.25;None;None;None
7/JUNE/2017;0;None;426.1042;None;None;None
8/JUNE/2017;0;None;427.0417;None;None;None
9/JUNE/2017;0;None;427.43182;None;None;None
10/JUNE/2017;0;None;429.78128;None;None;None
11/JUNE/2017;0;None;427.46875;None;None;None
12/JUNE/2017;0;None;423.03122;None;None;None
13/JUNE/2017;0;None;417.0104;None;None;None
14/JUNE/2017;0;None;407.51044;None;None;None
15/JUNE/2017;0;None;396.20834;None;None;None
16/JUNE/2017;0;None;385.8646;None;None;None
17/JUNE/2017;0;None;376.2396;None;None;None
18/JUNE/2017;0;None;366.60416;None;None;None
19/JUNE/2017;0;None;359.22916;None;None;None
20/JUNE/2017;0;None;365.4375;None;None;None
21/JUNE/2017;0;None;383.65625;None;None;None
22/JUNE/2017;0;None;398.08334;None;None;None
23/JUNE/2017;0;None;409.3646;None;None;None
24/JUNE/2017;0;None;416.91666;None;None;None
25/JUNE/2017;0;None;417.28125;None;None;None
26/JUNE/2017;0;None;417.71875;None;None;None
27/JUNE/2017;0;None;420.53122;None;None;None
28/JUNE/2017;0;None;420.2083;None;None;None
29/JUNE/2017;0;None;414.16666;None;None;None
30/JUNE/2017;0;None;406.38544;None;None;None
31/JUNE/2017;None;None;None;None;None;None
1/JULY/2017;0;None;397.8125;None;None;None
2/JULY/2017;0;None;385.71875;None;None;None
3/JULY/2017;0;None;373.1146;None;None;None
4/JULY/2017;0;None;364.29166;None;None;None
5/JULY/2017;0;None;355;None;None;None
6/JULY/2017;0;None;345.04166;None;None;None
7/JULY/2017;0;None;337.08334;None;None;None
8/JULY/2017;0;None;326.84375;None;None;None
9/JULY/2017;0;None;309.97916;None;None;None
10/JULY/2017;0;None;295.14584;None;None;None
11/JULY/2017;0;None;289.89584;None;None;None
12/JULY/2017;0;None;287.9659;None;None;None
13/JULY/2017;0;None;294.83334;None;None;None
14/JULY/2017;0;None;289.94565;None;None;None
15/JULY/2017;0;None;284.0104;None;None;None
16/JULY/2017;0;None;275.3646;None;None;None
17/JULY/2017;0;None;266.8646;None;None;None
18/JULY/2017;0;None;263.34375;None;None;None
19/JULY/2017;0;None;261.4271;None;None;None
20/JULY/2017;0;None;260.04166;None;None;None
21/JULY/2017;0;None;None;None;None;None
22/JULY/2017;0;None;None;None;None;None
23/JULY/2017;0;None;None;None;None;None
24/JULY/2017;0;None;None;None;None;None
25/JULY/2017;0;None;None;None;None;None
26/JULY/2017;0;None;None;None;None;None
27/JULY/2017;0;None;None;None;None;None
